date;price;dix;gex
28/01/2013;1500180054;3,84003E+15;1,41417E+13
29/01/2013;1507839966;4,20941E+16;1,65024E+13
30/01/2013;1501959961;4,16476E+15;1,55697E+13
31/01/2013;1498109985;4,05992E+15;1,36768E+13
01/02/2013;1513170044;4,0275E+14;1,69559E+13
04/02/2013;1495709961;4,07472E+16;1,25471E+13
05/02/2013;1511290039;4,06997E+15;1,92642E+13
06/02/2013;1512119995;4,29159E+16;1,9495E+13
07/02/2013;1509390015;4,2384E+16;1,9494E+13
08/02/2013;1517930054;4,23994E+15;2,0967E+13
11/02/2013;151701001;4,14465E+16;2,18432E+13
12/02/2013;1519430054;4,05188E+15;2,1283E+13
13/02/2013;1520329956;3,89955E+15;2,01224E+13
14/02/2013;1521380005;3,99621E+16;2,16151E+13
15/02/2013;1519790039;4,10504E+16;3,15897E+13
19/02/2013;1530939941;3,7933E+14;1,43054E+13
20/02/2013;1511949951;3,95198E+15;9,01839E+12
21/02/2013;1502420044;4,05178E+15;6,36557E+12
22/02/2013;1515599976;4,06511E+16;1,11069E+13
25/02/2013;1487849976;4,15834E+16;4,97997E+12
26/02/2013;1496939941;4,15661E+15;7,03612E+12
27/02/2013;151598999;3,92457E+14;1,15248E+13
28/02/2013;1514680054;4,03156E+15;1,01146E+13
01/03/2013;1518199951;4,08235E+16;1,08386E+13
04/03/2013;1525199951;3,92598E+15;1,2778E+13
05/03/2013;1539790039;3,83489E+16;1,81345E+13
06/03/2013;1541459961;3,85604E+15;1,77545E+13
07/03/2013;154426001;3,89068E+15;1,93812E+13
08/03/2013;1551180054;3,97393E+16;2,02953E+13
11/03/2013;1556219971;3,87689E+16;2,21599E+13
12/03/2013;155247998;4,02902E+15;2,02978E+13
13/03/2013;155452002;3,94323E+16;2,03531E+13
14/03/2013;156322998;3,86227E+16;2,38481E+13
15/03/2013;1560699951;4,10386E+15;2,73277E+13
18/03/2013;1552099976;4,36842E+16;1,52845E+13
19/03/2013;1548339966;4,1785E+16;1,40911E+13
20/03/2013;1558709961;3,88588E+15;1,62952E+13
21/03/2013;1545800049;4,2377E+15;1,32577E+13
22/03/2013;1556890015;4,04141E+16;1,58211E+13
25/03/2013;1551689941;4,14668E+15;1,55058E+13
26/03/2013;156377002;4,10086E+15;1,80927E+13
27/03/2013;1562849976;4,16105E+15;1,57896E+13
28/03/2013;1569189941;3,94637E+15;1,65009E+13
01/04/2013;1562170044;3,99881E+16;1,36544E+13
02/04/2013;157025;3,77484E+15;1,55056E+13
03/04/2013;1553689941;4,09944E+15;1,11976E+13
04/04/2013;155997998;4,12179E+16;1,15569E+13
05/04/2013;1553280029;4,30149E+15;1,14111E+13
08/04/2013;1563069946;4,03979E+16;1,39973E+13
09/04/2013;1568609985;4,10513E+16;1,60492E+13
10/04/2013;158772998;4,02281E+15;2,29423E+13
11/04/2013;1593369995;3,90855E+15;2,32948E+13
12/04/2013;1588849976;4,06332E+16;1,92504E+13
15/04/2013;1552359985;4,06749E+15;9,02992E+12
16/04/2013;1574569946;4,11591E+16;1,5662E+13
17/04/2013;155201001;4,07343E+16;7,77019E+12
18/04/2013;1541609985;4,15607E+16;5,03584E+12
19/04/2013;155525;4,08835E+16;7,50724E+12
22/04/2013;15625;3,96856E+14;9,47229E+12
23/04/2013;1578780029;4,00387E+15;1,38672E+13
24/04/2013;1578790039;3,82758E+16;1,46674E+13
25/04/2013;1585160034;3,86077E+15;1,68149E+13
26/04/2013;158223999;3,73328E+15;1,50201E+13
